change_isced68;sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
6.56159E-05;0.000164897;0.000105556;0.000141703;0.0000308934;0.011193849;-0.008486471
5.6374E-05;0.000183752;8.8519E-05;0.000156462;0.0000326228;0.011820477;-0.008961541
4.19035E-05;0.000125855;6.05804E-05;0.000130819;0.0000257838;0.009342449;-0.007082856
5.15397E-05;0.000113173;6.05835E-05;0.000119252;0.0000242116;0.008772788;-0.006650975
7.91658E-05;0.00015049;7.79369E-05;0.000130444;0.0000275918;0.00999756;-0.00757952
6.77152E-05;0.000116961;7.70756E-05;0.000120772;0.0000263341;0.009541831;-0.007234015
7.30232E-05;0.000158684;7.89744E-05;0.000114583;0.0000263341;0.009541831;-0.007234015
0.000109105;0.000153096;9.37855E-05;0.000200955;0.0000346667;0.012561037;-0.009522987
9.29938E-05;0.000199975;0.000120564;0.000242549;0.0000415843;0.015067548;-0.011423265
0.000140967;0.00025572;0.000172201;0.000286591;0.0000554195;0.020080569;-0.015223823
6.98711E-05;0.00016079;7.85189E-05;0.000143926;0.0000297929;0.010795086;-0.008184154
8.36974E-05;0.00017326;0.000103387;0.000166185;0.0000334089;0.012105308;-0.009177482
7.34895E-05;0.00019309;0.000104755;0.00017836;0.0000363961;0.013187665;-0.009998057
5.6144E-05;0.000191783;0.000126194;0.000216596;0.0000371822;0.013472495;-0.010213997
8.69238E-05;0.000171229;9.10195E-05;0.000218921;0.0000361602;0.013102215;-0.009933274
5.8236E-05;0.00013948;7.04017E-05;0.000118708;0.0000251549;0.009114585;-0.006910104
7.20963E-05;0.000121506;7.82872E-05;0.000148534;0.0000268057;0.009712729;-0.007363579
4.08904E-05;9.89204E-05;6.20725E-05;0.000141977;0.0000248405;0.009000652;-0.006823728
6.19049E-05;0.00015403;0.000126207;0.00025797;0.0000407196;0.014754234;-0.011185731
4.3931E-05;7.68527E-05;4.67511E-05;0.000114981;0.0000183159;0.006636557;-0.005031419
8.146E-05;0.000166344;0.000122718;0.000247978;0.0000386757;0.014013674;-0.010624285
4.00946E-05;9.19197E-05;7.98676E-05;0.000159409;0.0000225608;0.008174643;-0.006197499
4.87722E-05;0.00010972;9.54128E-05;0.000182567;0.0000267271;0.009684246;-0.007341985
5.50974E-05;7.1674E-05;5.44435E-05;0.000126008;0.0000183946;0.00666504;-0.005053013
4.45707E-05;8.55841E-05;6.6971E-05;0.000159696;0.0000212245;0.007690431;-0.0058304
7.20374E-05;8.26509E-05;8.60712E-05;0.000147859;0.0000242116;0.008772788;-0.006650975
5.60094E-05;0.00016543;0.00012179;0.00022111;0.0000400907;0.014526369;-0.011012978
